time,co2_ppm,co2_scaled,time_ordinal,time_scaled,predicted_temperature
2023-07-01,405.44914879820107,0.43346007604562686,3468,0.4332833583208396,0.060854014
2023-08-01,405.5068876631661,0.4372623574144505,3499,0.4371564217891054,0.06761779
2023-09-01,405.5646265281312,0.44106463878327773,3530,0.4410294852573713,0.07438164
2023-10-01,405.6223653930962,0.4448669201520943,3560,0.4447776111944028,0.080976486
2023-11-01,405.6801042580612,0.4486692015209144,3591,0.44865067466266867,0.08774033
2023-12-01,405.7378431230262,0.4524714828897345,3621,0.4523988005997001,0.09433534
2024-01-01,405.7955819879912,0.4562737642585546,3652,0.456271864067966,0.09569482
2024-02-01,405.8533208529562,0.4600760456273747,3683,0.4601449275362319,0.088742636
2024-03-01,405.9110597179213,0.4638783269962019,3712,0.463768115942029,0.082018204
2024-04-01,405.9687985828864,0.46768060836502556,3743,0.4676411794102948,0.07506619
2024-05-01,406.02653744785135,0.4714828897338421,3773,0.4713893053473263,0.068227686
2024-06-01,406.0842763128164,0.47528517110266577,3804,0.4752623688155922,0.061275747
2024-07-01,406.1420151777814,0.4790874524714823,3834,0.4790104947526237,0.054437403
2024-08-01,406.1997540427464,0.482889733840306,3865,0.4828835582208895,0.04748538
2024-09-01,406.2574929077115,0.48669201520912964,3896,0.4867566216891554,0.046856854
2024-10-01,406.3152317726765,0.49049429657794974,3926,0.4905047476261869,0.05365935
2024-11-01,406.3729706376415,0.49429657794676984,3957,0.4943778110944528,0.060571566
2024-12-01,406.4307095026065,0.4980988593155864,3987,0.4981259370314842,0.06737383
2025-01-01,406.4884483675716,0.5019011406844172,4018,0.5019990004997501,0.07428612
2025-02-01,406.54618723253657,0.5057034220532337,4049,0.505872063968016,0.08119841
2025-03-01,406.6039260975016,0.5095057034220538,4077,0.5093703148425787,0.087780915
2025-04-01,406.66166496246666,0.5133079847908775,4108,0.5132433783108445,0.09469321
2025-05-01,406.7194038274317,0.5171102661596976,4138,0.5169915042478761,0.10149555
2025-06-01,406.7771426923967,0.5209125475285177,4169,0.5208645677161419,0.108407766
2025-07-01,406.8348815573617,0.5247148288973413,4199,0.5246126936531734,0.1152101
2025-08-01,406.89262042232673,0.5285171102661614,4230,0.5284857571214393,0.12212232
2025-09-01,406.95035928729175,0.5323193916349815,4261,0.5323588205897052,0.12903453
2025-10-01,407.0080981522568,0.5361216730038052,4291,0.5361069465267366,0.13583703
